,Type,Year,Age_group,Gender,Total
1766,Insanity/Mental Illness,2009,45-59,Female,667
917,Drug Abuse/Addiction,2008,45-59,Male,654
913,Drug Abuse/Addiction,2008,15-29,Male,637
1746,Insanity/Mental Illness,2007,45-59,Female,634
1298,Family Problems,2010,60+,Female,630
2815,Property Dispute,2006,30-44,Male,626
1726,Insanity/Mental Illness,2005,45-59,Female,623
107,Bankruptcy or Sudden change in Economic,2012,45-59,Male,621
2587,Poverty,2007,45-59,Male,621
1739,Insanity/Mental Illness,2006,60+,Male,619
1855,Love Affairs,2006,30-44,Male,599
1706,Insanity/Mental Illness,2003,45-59,Female,598
1228,Family Problems,2003,60+,Female,595
845,Drug Abuse/Addiction,2001,30-44,Male,588
1825,Love Affairs,2003,30-44,Male,577
1736,Insanity/Mental Illness,2006,45-59,Female,575
2567,Poverty,2005,45-59,Male,575
2553,Poverty,2004,15-29,Male,575
1759,Insanity/Mental Illness,2008,60+,Male,573
1769,Insanity/Mental Illness,2009,60+,Male,572
907,Drug Abuse/Addiction,2007,45-59,Male,570
1278,Family Problems,2008,60+,Female,566
724,Dowry Dispute,2001,30-44,Female,562
2613,Poverty,2010,15-29,Male,558
1729,Insanity/Mental Illness,2005,60+,Male,557
744,Dowry Dispute,2003,30-44,Female,555
1905,Love Affairs,2011,30-44,Male,554
1308,Family Problems,2011,60+,Female,553
1258,Family Problems,2006,60+,Female,552
2547,Poverty,2003,45-59,Male,552
1719,Insanity/Mental Illness,2004,60+,Male,551
2537,Poverty,2002,45-59,Male,548
1248,Family Problems,2005,60+,Female,548
2577,Poverty,2006,45-59,Male,547
1709,Insanity/Mental Illness,2003,60+,Male,544
1318,Family Problems,2012,60+,Female,543
2855,Property Dispute,2010,30-44,Male,543
1835,Love Affairs,2004,30-44,Male,541
3115,Unemployment,2012,30-44,Male,541
1796,Insanity/Mental Illness,2012,45-59,Female,541
1749,Insanity/Mental Illness,2007,60+,Male,540
1716,Insanity/Mental Illness,2004,45-59,Female,538
2138,Other Causes (Please Specity),2010,60+,Female,537
2637,Poverty,2012,45-59,Male,537
764,Dowry Dispute,2005,30-44,Female,536
1288,Family Problems,2009,60+,Female,536
754,Dowry Dispute,2004,30-44,Female,533
774,Dowry Dispute,2006,30-44,Female,533
468,Causes Not known,2011,60+,Female,532
2817,Property Dispute,2006,45-59,Male,530
2141,Other Causes (Please Specity),2011,0-14,Male,530
1895,Love Affairs,2010,30-44,Male,524
903,Drug Abuse/Addiction,2007,15-29,Male,523
2603,Poverty,2009,15-29,Male,518
2705,Professional/Career Problem,2007,30-44,Male,517
734,Dowry Dispute,2002,30-44,Female,508
2725,Professional/Career Problem,2009,30-44,Male,502
1268,Family Problems,2007,60+,Female,498
2158,Other Causes (Please Specity),2012,60+,Female,496
2627,Poverty,2011,45-59,Male,491
1845,Love Affairs,2005,30-44,Male,491
2795,Property Dispute,2004,30-44,Male,490
2131,Other Causes (Please Specity),2010,0-14,Male,489
2148,Other Causes (Please Specity),2011,60+,Female,485
2543,Poverty,2003,15-29,Male,485
361,Causes Not known,2001,0-14,Male,484
887,Drug Abuse/Addiction,2005,45-59,Male,484
1238,Family Problems,2004,60+,Female,484
368,Causes Not known,2001,60+,Female,484
1696,Insanity/Mental Illness,2002,45-59,Female,483
897,Drug Abuse/Addiction,2006,45-59,Male,482
441,Causes Not known,2009,0-14,Male,480
2081,Other Causes (Please Specity),2005,0-14,Male,479
2120,Other Causes (Please Specity),2009,0-14,Female,478
448,Causes Not known,2009,60+,Female,474
378,Causes Not known,2002,60+,Female,471
458,Causes Not known,2010,60+,Female,470
2121,Other Causes (Please Specity),2009,0-14,Male,470
2140,Other Causes (Please Specity),2011,0-14,Female,470
2633,Poverty,2012,15-29,Male,468
2593,Poverty,2008,15-29,Male,467
2071,Other Causes (Please Specity),2004,0-14,Male,467
1699,Insanity/Mental Illness,2002,60+,Male,467
1686,Insanity/Mental Illness,2001,45-59,Female,466
33,Bankruptcy or Sudden change in Economic,2005,15-29,Male,465
2805,Property Dispute,2005,30-44,Male,463
2695,Professional/Career Problem,2006,30-44,Male,461
883,Drug Abuse/Addiction,2005,15-29,Male,460
1218,Family Problems,2002,60+,Female,459
877,Drug Abuse/Addiction,2004,45-59,Male,458
2807,Property Dispute,2005,45-59,Male,457
451,Causes Not known,2010,0-14,Male,455
2533,Poverty,2002,15-29,Male,455
1208,Family Problems,2001,60+,Female,454
83,Bankruptcy or Sudden change in Economic,2010,15-29,Male,454
834,Dowry Dispute,2012,30-44,Female,452
873,Drug Abuse/Addiction,2004,15-29,Male,452
893,Drug Abuse/Addiction,2006,15-29,Male,451
73,Bankruptcy or Sudden change in Economic,2009,15-29,Male,450
2745,Professional/Career Problem,2011,30-44,Male,450
1815,Love Affairs,2002,30-44,Male,448
2785,Property Dispute,2003,30-44,Male,448
867,Drug Abuse/Addiction,2003,45-59,Male,447
2892,Suspected/Illicit Relation,2002,15-29,Female,446
43,Bankruptcy or Sudden change in Economic,2006,15-29,Male,445
93,Bankruptcy or Sudden change in Economic,2011,15-29,Male,445
2865,Property Dispute,2011,30-44,Male,444
1865,Love Affairs,2007,30-44,Male,444
1834,Love Affairs,2004,30-44,Female,444
2523,Poverty,2001,15-29,Male,442
2845,Property Dispute,2009,30-44,Male,442
360,Causes Not known,2001,0-14,Female,441
1915,Love Affairs,2012,30-44,Male,441
2527,Poverty,2001,45-59,Male,440
53,Bankruptcy or Sudden change in Economic,2007,15-29,Male,439
461,Causes Not known,2011,0-14,Male,439
2972,Suspected/Illicit Relation,2010,15-29,Female,439
13,Bankruptcy or Sudden change in Economic,2003,15-29,Male,437
1875,Love Affairs,2008,30-44,Male,435
182,Cancellation/Non-Settlement of Marriage,2007,15-29,Female,435
23,Bankruptcy or Sudden change in Economic,2004,15-29,Male,435
2835,Property Dispute,2008,30-44,Male,435
1689,Insanity/Mental Illness,2001,60+,Male,434
2583,Poverty,2007,15-29,Male,434
2088,Other Causes (Please Specity),2005,60+,Female,434
1885,Love Affairs,2009,30-44,Male,431
2078,Other Causes (Please Specity),2004,60+,Female,431
63,Bankruptcy or Sudden change in Economic,2008,15-29,Male,429
2715,Professional/Career Problem,2008,30-44,Male,427
2665,Professional/Career Problem,2003,30-44,Male,423
2563,Poverty,2005,15-29,Male,422
1824,Love Affairs,2003,30-44,Female,421
2765,Property Dispute,2001,30-44,Male,419
2813,Property Dispute,2006,15-29,Male,416
388,Causes Not known,2003,60+,Female,412
2623,Poverty,2011,15-29,Male,411
2825,Property Dispute,2007,30-44,Male,410
2128,Other Causes (Please Specity),2009,60+,Female,407
122,Cancellation/Non-Settlement of Marriage,2001,15-29,Female,406
853,Drug Abuse/Addiction,2002,15-29,Male,403
2048,Other Causes (Please Specity),2001,60+,Female,403
2902,Suspected/Illicit Relation,2003,15-29,Female,403
2912,Suspected/Illicit Relation,2004,15-29,Female,403
132,Cancellation/Non-Settlement of Marriage,2002,15-29,Female,402
1805,Love Affairs,2001,30-44,Male,401
857,Drug Abuse/Addiction,2002,45-59,Male,400
202,Cancellation/Non-Settlement of Marriage,2009,15-29,Female,398
2151,Other Causes (Please Specity),2012,0-14,Male,397
172,Cancellation/Non-Settlement of Marriage,2006,15-29,Female,395
1123,Fall in Social Reputation,2005,15-29,Male,394
2070,Other Causes (Please Specity),2004,0-14,Female,394
371,Causes Not known,2002,0-14,Male,391
223,Cancellation/Non-Settlement of Marriage,2011,15-29,Male,391
2882,Suspected/Illicit Relation,2001,15-29,Female,391
398,Causes Not known,2004,60+,Female,388
2982,Suspected/Illicit Relation,2011,15-29,Female,388
1135,Fall in Social Reputation,2006,30-44,Male,387
478,Causes Not known,2012,60+,Female,386
438,Causes Not known,2008,60+,Female,385
2857,Property Dispute,2010,45-59,Male,383
162,Cancellation/Non-Settlement of Marriage,2005,15-29,Female,383
2962,Suspected/Illicit Relation,2009,15-29,Female,383
2942,Suspected/Illicit Relation,2007,15-29,Female,381
2108,Other Causes (Please Specity),2007,60+,Female,379
222,Cancellation/Non-Settlement of Marriage,2011,15-29,Female,376
192,Cancellation/Non-Settlement of Marriage,2008,15-29,Female,376
2058,Other Causes (Please Specity),2002,60+,Female,375
212,Cancellation/Non-Settlement of Marriage,2010,15-29,Female,375
2573,Poverty,2006,15-29,Male,375
2755,Professional/Career Problem,2012,30-44,Male,374
113,Bankruptcy or Sudden change in Economic Status,2002,15-29,Male,374
3,Bankruptcy or Sudden change in Economic,2001,15-29,Male,373
450,Causes Not known,2010,0-14,Female,372
428,Causes Not known,2007,60+,Female,372
2867,Property Dispute,2011,45-59,Male,371
2875,Property Dispute,2012,30-44,Male,370
2040,Other Causes (Please Specity),2001,0-14,Female,370
2675,Professional/Career Problem,2004,30-44,Male,369
2101,Other Causes (Please Specity),2007,0-14,Male,369
863,Drug Abuse/Addiction,2003,15-29,Male,369
2922,Suspected/Illicit Relation,2005,15-29,Female,369
2111,Other Causes (Please Specity),2008,0-14,Male,368
2767,Property Dispute,2001,45-59,Male,366
381,Causes Not known,2003,0-14,Male,364
2041,Other Causes (Please Specity),2001,0-14,Male,362
2150,Other Causes (Please Specity),2012,0-14,Female,362
142,Cancellation/Non-Settlement of Marriage,2003,15-29,Female,361
370,Causes Not known,2002,0-14,Female,360
460,Causes Not known,2011,0-14,Female,359
2727,Professional/Career Problem,2009,45-59,Male,359
2775,Property Dispute,2002,30-44,Male,358
2735,Professional/Career Problem,2010,30-44,Male,358
2847,Property Dispute,2009,45-59,Male,357
103,Bankruptcy or Sudden change in Economic,2012,15-29,Male,353
2932,Suspected/Illicit Relation,2006,15-29,Female,352
2051,Other Causes (Please Specity),2002,0-14,Male,351
152,Cancellation/Non-Settlement of Marriage,2004,15-29,Female,350
1854,Love Affairs,2006,30-44,Female,350
2777,Property Dispute,2002,45-59,Male,349
1778,Insanity/Mental Illness,2010,60+,Female,346
1125,Fall in Social Reputation,2005,30-44,Male,345
1738,Insanity/Mental Illness,2006,60+,Female,343
59,Bankruptcy or Sudden change in Economic,2007,60+,Male,342
2050,Other Causes (Please Specity),2002,0-14,Female,342
391,Causes Not known,2004,0-14,Male,342
2068,Other Causes (Please Specity),2003,60+,Female,342
431,Causes Not known,2008,0-14,Male,341
2853,Property Dispute,2010,15-29,Male,340
2952,Suspected/Illicit Relation,2008,15-29,Female,339
843,Drug Abuse/Addiction,2001,15-29,Male,339
2091,Other Causes (Please Specity),2006,0-14,Male,339
3007,Unemployment,2001,45-59,Male,338
2098,Other Causes (Please Specity),2006,60+,Female,337
2797,Property Dispute,2004,45-59,Male,336
1904,Love Affairs,2011,30-44,Female,335
847,Drug Abuse/Addiction,2001,45-59,Male,333
1894,Love Affairs,2010,30-44,Female,332
2061,Other Causes (Please Specity),2003,0-14,Male,332
380,Causes Not known,2003,0-14,Female,328
2787,Property Dispute,2003,45-59,Male,326
3087,Unemployment,2009,45-59,Male,326
1185,Fall in Social Reputation,2011,30-44,Male,326
1605,Illness (Aids/STD),2005,30-44,Male,325
2655,Professional/Career Problem,2002,30-44,Male,325
1814,Love Affairs,2002,30-44,Female,324
440,Causes Not known,2009,0-14,Female,323
1884,Love Affairs,2009,30-44,Female,320
1798,Insanity/Mental Illness,2012,60+,Female,319
213,Cancellation/Non-Settlement of Marriage,2010,15-29,Male,319
1768,Insanity/Mental Illness,2009,60+,Female,319
2645,Professional/Career Problem,2001,30-44,Male,318
1728,Insanity/Mental Illness,2005,60+,Female,317
2130,Other Causes (Please Specity),2010,0-14,Female,317
2554,Poverty,2004,30-44,Female,316
390,Causes Not known,2004,0-14,Female,316
552,Death of Dear Person,2008,15-29,Female,316
1844,Love Affairs,2005,30-44,Female,315
1758,Insanity/Mental Illness,2008,60+,Female,315
421,Causes Not known,2007,0-14,Male,314
1914,Love Affairs,2012,30-44,Female,314
2983,Suspected/Illicit Relation,2011,15-29,Male,313
2837,Property Dispute,2008,45-59,Male,312
2685,Professional/Career Problem,2005,30-44,Male,311
2100,Other Causes (Please Specity),2007,0-14,Female,310
1788,Insanity/Mental Illness,2011,60+,Female,309
430,Causes Not known,2008,0-14,Female,309
2118,Other Causes (Please Specity),2008,60+,Female,307
2877,Property Dispute,2012,45-59,Male,306
471,Causes Not known,2012,0-14,Male,305
3037,Unemployment,2004,45-59,Male,302
420,Causes Not known,2007,0-14,Female,300
3027,Unemployment,2003,45-59,Male,299
411,Causes Not known,2006,0-14,Male,298
2827,Property Dispute,2007,45-59,Male,297
1145,Fall in Social Reputation,2007,30-44,Male,296
1155,Fall in Social Reputation,2008,30-44,Male,295
1173,Fall in Social Reputation,2010,15-29,Male,294
1748,Insanity/Mental Illness,2007,60+,Female,292
2944,Suspected/Illicit Relation,2007,30-44,Female,291
1874,Love Affairs,2008,30-44,Female,291
2723,Professional/Career Problem,2009,15-29,Male,290
2894,Suspected/Illicit Relation,2002,30-44,Female,288
2717,Professional/Career Problem,2008,45-59,Male,288
2913,Suspected/Illicit Relation,2004,15-29,Male,287
1175,Fall in Social Reputation,2010,30-44,Male,286
2703,Professional/Career Problem,2007,15-29,Male,285
203,Cancellation/Non-Settlement of Marriage,2009,15-29,Male,283
49,Bankruptcy or Sudden change in Economic,2006,60+,Male,282
2524,Poverty,2001,30-44,Female,282
408,Causes Not known,2005,60+,Female,281
1688,Insanity/Mental Illness,2001,60+,Female,280
1708,Insanity/Mental Illness,2003,60+,Female,280
2823,Property Dispute,2007,15-29,Male,280
418,Causes Not known,2006,60+,Female,279
2992,Suspected/Illicit Relation,2012,15-29,Female,279
401,Causes Not known,2005,0-14,Male,276
3047,Unemployment,2005,45-59,Male,275
1804,Love Affairs,2001,30-44,Female,273
2985,Suspected/Illicit Relation,2011,30-44,Male,272
2793,Property Dispute,2004,15-29,Male,271
2080,Other Causes (Please Specity),2005,0-14,Female,271
1994,Not having Children(Barrenness/Impotency,2008,30-44,Female,270
2955,Suspected/Illicit Relation,2008,30-44,Male,270
1010,Failure in Examination,2006,0-14,Female,270
2763,Property Dispute,2001,15-29,Male,269
2783,Property Dispute,2003,15-29,Male,268
2974,Suspected/Illicit Relation,2010,30-44,Female,267
2904,Suspected/Illicit Relation,2003,30-44,Female,267
232,Cancellation/Non-Settlement of Marriage,2012,15-29,Female,267
2594,Poverty,2008,30-44,Female,267
1932,Not having Children(Barrenness/Impotency,2001,15-29,Female,267
1000,Failure in Examination,2005,0-14,Female,265
2953,Suspected/Illicit Relation,2008,15-29,Male,265
1122,Fall in Social Reputation,2005,15-29,Female,263
2060,Other Causes (Please Specity),2003,0-14,Female,262
2612,Poverty,2010,15-29,Female,262
3067,Unemployment,2007,45-59,Male,262
99,Bankruptcy or Sudden change in Economic,2011,60+,Male,262
133,Cancellation/Non-Settlement of Marriage,2002,15-29,Male,261
193,Cancellation/Non-Settlement of Marriage,2008,15-29,Male,261
163,Cancellation/Non-Settlement of Marriage,2005,15-29,Male,261
1864,Love Affairs,2007,30-44,Female,261
2707,Professional/Career Problem,2007,45-59,Male,261
1153,Fall in Social Reputation,2008,15-29,Male,261
1165,Fall in Social Reputation,2009,30-44,Male,260
2747,Professional/Career Problem,2011,45-59,Male,260
2673,Professional/Career Problem,2004,15-29,Male,259
2743,Professional/Career Problem,2011,15-29,Male,257
2090,Other Causes (Please Specity),2006,0-14,Female,257
959,Drug Abuse/Addiction,2012,60+,Male,256
2863,Property Dispute,2011,15-29,Male,255
470,Causes Not known,2012,0-14,Female,255
123,Cancellation/Non-Settlement of Marriage,2001,15-29,Male,254
119,Bankruptcy or Sudden change in Economic Status,2002,60+,Male,254
2584,Poverty,2007,30-44,Female,254
2923,Suspected/Illicit Relation,2005,15-29,Male,253
2544,Poverty,2003,30-44,Female,253
1625,Illness (Aids/STD),2007,30-44,Male,253
1085,Fall in Social Reputation,2001,30-44,Male,253
2975,Suspected/Illicit Relation,2010,30-44,Male,252
1105,Fall in Social Reputation,2003,30-44,Male,252
1210,Family Problems,2002,0-14,Female,251
183,Cancellation/Non-Settlement of Marriage,2007,15-29,Male,251
3107,Unemployment,2011,45-59,Male,251
2592,Poverty,2008,15-29,Female,249
410,Causes Not known,2006,0-14,Female,249
2893,Suspected/Illicit Relation,2002,15-29,Male,249
2110,Other Causes (Please Specity),2008,0-14,Female,249
2713,Professional/Career Problem,2008,15-29,Male,248
1984,Not having Children(Barrenness/Impotency,2007,30-44,Female,248
337,Cancer,2010,45-59,Male,247
2733,Professional/Career Problem,2010,15-29,Male,247
1964,Not having Children(Barrenness/Impotency,2005,30-44,Female,247
2934,Suspected/Illicit Relation,2006,30-44,Female,247
1934,Not having Children(Barrenness/Impotency,2001,30-44,Female,246
2943,Suspected/Illicit Relation,2007,15-29,Male,246
1615,Illness (Aids/STD),2006,30-44,Male,246
1982,Not having Children(Barrenness/Impotency,2007,15-29,Female,244
1442,Illegitimate Pregnancy,2001,15-29,Female,244
1195,Fall in Social Reputation,2012,30-44,Male,243
2973,Suspected/Illicit Relation,2010,15-29,Male,242
3077,Unemployment,2008,45-59,Male,242
3097,Unemployment,2010,45-59,Male,242
2945,Suspected/Illicit Relation,2007,30-44,Male,242
2884,Suspected/Illicit Relation,2001,30-44,Female,242
1011,Failure in Examination,2006,0-14,Male,242
1922,Not having Children (Barrenness/Impotency,2002,15-29,Female,241
3017,Unemployment,2002,45-59,Male,241
2574,Poverty,2006,30-44,Female,240
2816,Property Dispute,2006,45-59,Female,240
2903,Suspected/Illicit Relation,2003,15-29,Male,239
2522,Poverty,2001,15-29,Female,238
1698,Insanity/Mental Illness,2002,60+,Female,238
233,Cancellation/Non-Settlement of Marriage,2012,15-29,Male,238
19,Bankruptcy or Sudden change in Economic,2003,60+,Male,237
2954,Suspected/Illicit Relation,2008,30-44,Female,237
143,Cancellation/Non-Settlement of Marriage,2003,15-29,Male,237
1095,Fall in Social Reputation,2002,30-44,Male,236
1924,Not having Children (Barrenness/Impotency,2002,30-44,Female,236
79,Bankruptcy or Sudden change in Economic,2009,60+,Male,235
2697,Professional/Career Problem,2006,45-59,Male,235
1954,Not having Children(Barrenness/Impotency,2004,30-44,Female,235
1083,Fall in Social Reputation,2001,15-29,Male,235
2737,Professional/Career Problem,2010,45-59,Male,233
990,Failure in Examination,2004,0-14,Female,233
1172,Fall in Social Reputation,2010,15-29,Female,233
2552,Poverty,2004,15-29,Female,233
939,Drug Abuse/Addiction,2010,60+,Male,232
1944,Not having Children(Barrenness/Impotency,2003,30-44,Female,232
2883,Suspected/Illicit Relation,2001,15-29,Male,232
1718,Insanity/Mental Illness,2004,60+,Female,232
2604,Poverty,2009,30-44,Female,231
2905,Suspected/Illicit Relation,2003,30-44,Male,231
2614,Poverty,2010,30-44,Female,231
2984,Suspected/Illicit Relation,2011,30-44,Female,230
2964,Suspected/Illicit Relation,2009,30-44,Female,229
69,Bankruptcy or Sudden change in Economic,2008,60+,Male,229
2814,Property Dispute,2006,30-44,Female,228
2963,Suspected/Illicit Relation,2009,15-29,Male,228
257,Cancer,2002,45-59,Male,226
2833,Property Dispute,2008,15-29,Male,226
173,Cancellation/Non-Settlement of Marriage,2006,15-29,Male,226
2564,Poverty,2005,30-44,Female,225
2924,Suspected/Illicit Relation,2005,30-44,Female,225
2677,Professional/Career Problem,2004,45-59,Male,224
961,Failure in Examination,2001,0-14,Male,224
2556,Poverty,2004,45-59,Female,224
2653,Professional/Career Problem,2002,15-29,Male,224
327,Cancer,2009,45-59,Male,223
400,Causes Not known,2005,0-14,Female,223
991,Failure in Examination,2004,0-14,Male,223
1127,Fall in Social Reputation,2005,45-59,Male,223
317,Cancer,2008,45-59,Male,222
2663,Professional/Career Problem,2003,15-29,Male,222
1637,Illness (Aids/STD),2008,45-59,Male,221
2993,Suspected/Illicit Relation,2012,15-29,Male,221
2753,Professional/Career Problem,2012,15-29,Male,221
2624,Poverty,2011,30-44,Female,221
949,Drug Abuse/Addiction,2011,60+,Male,220
1137,Fall in Social Reputation,2006,45-59,Male,219
2935,Suspected/Illicit Relation,2006,30-44,Male,219
1133,Fall in Social Reputation,2006,15-29,Male,218
2542,Poverty,2003,15-29,Female,218
2933,Suspected/Illicit Relation,2006,15-29,Male,217
1585,Illness (Aids/STD),2003,30-44,Male,217
2885,Suspected/Illicit Relation,2001,30-44,Male,217
2895,Suspected/Illicit Relation,2002,30-44,Male,217
2012,Not having Children(Barrenness/Impotency,2010,15-29,Female,217
2602,Poverty,2009,15-29,Female,216
2024,Not having Children(Barrenness/Impotency,2011,30-44,Female,215
2914,Suspected/Illicit Relation,2004,30-44,Female,214
2534,Poverty,2002,30-44,Female,214
2619,Poverty,2010,60+,Male,214
2559,Poverty,2004,60+,Male,214
1310,Family Problems,2012,0-14,Female,213
1595,Illness (Aids/STD),2004,30-44,Male,213
247,Cancer,2001,45-59,Male,212
1143,Fall in Social Reputation,2007,15-29,Male,212
2915,Suspected/Illicit Relation,2004,30-44,Male,211
3057,Unemployment,2006,45-59,Male,211
2925,Suspected/Illicit Relation,2005,30-44,Male,210
2582,Poverty,2007,15-29,Female,209
1974,Not having Children(Barrenness/Impotency,2006,30-44,Female,208
2995,Suspected/Illicit Relation,2012,30-44,Male,207
1962,Not having Children(Barrenness/Impotency,2005,15-29,Female,207
2643,Professional/Career Problem,2001,15-29,Male,207
39,Bankruptcy or Sudden change in Economic,2005,60+,Male,206
2002,Not having Children(Barrenness/Impotency,2009,15-29,Female,206
2599,Poverty,2008,60+,Male,206
2693,Professional/Career Problem,2006,15-29,Male,206
1182,Fall in Social Reputation,2011,15-29,Female,205
2532,Poverty,2002,15-29,Female,205
2004,Not having Children(Barrenness/Impotency,2009,30-44,Female,204
2014,Not having Children(Barrenness/Impotency,2010,30-44,Female,204
2589,Poverty,2007,60+,Male,204
1972,Not having Children(Barrenness/Impotency,2006,15-29,Female,204
1635,Illness (Aids/STD),2008,30-44,Male,204
89,Bankruptcy or Sudden change in Economic,2010,60+,Male,203
4,Bankruptcy or Sudden change in Economic,2001,30-44,Female,202
1952,Not having Children(Barrenness/Impotency,2004,15-29,Female,202
1187,Fall in Social Reputation,2011,45-59,Male,202
287,Cancer,2005,45-59,Male,201
29,Bankruptcy or Sudden change in Economic,2004,60+,Male,201
2569,Poverty,2005,60+,Male,201
297,Cancer,2006,45-59,Male,201
2287,Paralysis,2001,45-59,Male,200
307,Cancer,2007,45-59,Male,200
1197,Fall in Social Reputation,2012,45-59,Male,200
2803,Property Dispute,2005,15-29,Male,200
1300,Family Problems,2011,0-14,Female,199
1177,Fall in Social Reputation,2010,45-59,Male,199
3022,Unemployment,2003,15-29,Female,199
1193,Fall in Social Reputation,2012,15-29,Male,198
2022,Not having Children(Barrenness/Impotency,2011,15-29,Female,197
2757,Professional/Career Problem,2012,45-59,Male,197
1087,Fall in Social Reputation,2001,45-59,Male,197
9,Bankruptcy or Sudden change in Economic,2001,60+,Male,197
1645,Illness (Aids/STD),2009,30-44,Male,197
153,Cancellation/Non-Settlement of Marriage,2004,15-29,Male,197
2965,Suspected/Illicit Relation,2009,30-44,Male,197
277,Cancer,2004,45-59,Male,195
1575,Illness (Aids/STD),2002,30-44,Male,195
1200,Family Problems,2001,0-14,Female,195
1230,Family Problems,2004,0-14,Female,194
1142,Fall in Social Reputation,2007,15-29,Female,194
3002,Unemployment,2001,15-29,Female,194
502,Death of Dear Person,2003,15-29,Female,194
1220,Family Problems,2003,0-14,Female,194
2032,Not having Children(Barrenness/Impotency,2012,15-29,Female,193
1942,Not having Children(Barrenness/Impotency,2003,15-29,Female,193
1270,Family Problems,2008,0-14,Female,193
1291,Family Problems,2010,0-14,Male,193
1231,Family Problems,2004,0-14,Male,192
2667,Professional/Career Problem,2003,45-59,Male,191
347,Cancer,2011,45-59,Male,191
1290,Family Problems,2010,0-14,Female,190
1211,Family Problems,2002,0-14,Male,190
2034,Not having Children(Barrenness/Impotency,2012,30-44,Female,190
3034,Unemployment,2004,30-44,Female,190
1602,Illness (Aids/STD),2005,15-29,Female,188
2327,Paralysis,2005,45-59,Male,188
535,Death of Dear Person,2006,30-44,Male,188
503,Death of Dear Person,2003,15-29,Male,187
2562,Poverty,2005,15-29,Female,187
2634,Poverty,2012,30-44,Female,187
1132,Fall in Social Reputation,2006,15-29,Female,186
109,Bankruptcy or Sudden change in Economic,2012,60+,Male,186
2609,Poverty,2009,60+,Male,186
2773,Property Dispute,2002,15-29,Male,186
1082,Fall in Social Reputation,2001,15-29,Female,186
1001,Failure in Examination,2005,0-14,Male,185
1221,Family Problems,2003,0-14,Male,185
525,Death of Dear Person,2005,30-44,Male,185
2683,Professional/Career Problem,2005,15-29,Male,185
2843,Property Dispute,2009,15-29,Male,184
572,Death of Dear Person,2010,15-29,Female,184
1162,Fall in Social Reputation,2009,15-29,Female,184
582,Death of Dear Person,2011,15-29,Female,182
1280,Family Problems,2009,0-14,Female,182
971,Failure in Examination,2002,0-14,Male,181
2994,Suspected/Illicit Relation,2012,30-44,Female,181
1163,Fall in Social Reputation,2009,15-29,Male,180
1020,Failure in Examination,2007,0-14,Female,179
3062,Unemployment,2007,15-29,Female,179
1115,Fall in Social Reputation,2004,30-44,Male,179
1021,Failure in Examination,2007,0-14,Male,179
505,Death of Dear Person,2003,30-44,Male,179
482,Death of Dear Person,2001,15-29,Female,179
1995,Not having Children(Barrenness/Impotency,2008,30-44,Male,178
275,Cancer,2004,30-44,Male,178
2854,Property Dispute,2010,30-44,Female,178
2864,Property Dispute,2011,30-44,Female,177
565,Death of Dear Person,2009,30-44,Male,177
2657,Professional/Career Problem,2002,45-59,Male,176
2622,Poverty,2011,15-29,Female,176
1113,Fall in Social Reputation,2004,15-29,Male,176
970,Failure in Examination,2002,0-14,Female,176
2526,Poverty,2001,45-59,Female,175
255,Cancer,2002,30-44,Male,175
2873,Property Dispute,2012,15-29,Male,173
919,Drug Abuse/Addiction,2008,60+,Male,173
1167,Fall in Social Reputation,2009,45-59,Male,173
1152,Fall in Social Reputation,2008,15-29,Female,173
2402,Physical Abuse (Rape/Incest Etc.),2001,15-29,Female,173
2647,Professional/Career Problem,2001,45-59,Male,173
1992,Not having Children(Barrenness/Impotency,2008,15-29,Female,173
3102,Unemployment,2011,15-29,Female,172
1184,Fall in Social Reputation,2011,30-44,Female,172
1462,Illegitimate Pregnancy,2003,15-29,Female,172
1492,Illegitimate Pregnancy,2006,15-29,Female,171
1157,Fall in Social Reputation,2008,45-59,Male,171
44,Bankruptcy or Sudden change in Economic,2006,30-44,Female,171
1124,Fall in Social Reputation,2005,30-44,Female,171
329,Cancer,2009,60+,Male,171
1201,Family Problems,2001,0-14,Male,170
2572,Poverty,2006,15-29,Female,170
215,Cancellation/Non-Settlement of Marriage,2010,30-44,Male,170
1174,Fall in Social Reputation,2010,30-44,Female,170
2369,Paralysis,2009,60+,Male,169
2852,Property Dispute,2010,15-29,Female,169
2472,Physical Abuse (Rape/Incest Etc.),2008,15-29,Female,168
3032,Unemployment,2004,15-29,Female,167
2329,Paralysis,2005,60+,Male,167
1452,Illegitimate Pregnancy,2002,15-29,Female,166
1250,Family Problems,2006,0-14,Female,166
1563,Illness (Aids/STD),2001,15-29,Male,166
225,Cancellation/Non-Settlement of Marriage,2011,30-44,Male,165
575,Death of Dear Person,2010,30-44,Male,165
555,Death of Dear Person,2008,30-44,Male,165
980,Failure in Examination,2003,0-14,Female,164
3117,Unemployment,2012,45-59,Male,164
1281,Family Problems,2009,0-14,Male,164
245,Cancer,2001,30-44,Male,163
2794,Property Dispute,2004,30-44,Female,163
309,Cancer,2007,60+,Male,163
2250,Other Prolonged Illness,2010,0-14,Female,163
1240,Family Problems,2005,0-14,Female,163
960,Failure in Examination,2001,0-14,Female,163
1260,Family Problems,2007,0-14,Female,162
205,Cancellation/Non-Settlement of Marriage,2009,30-44,Male,162
1061,Failure in Examination,2011,0-14,Male,161
2596,Poverty,2008,45-59,Female,161
