,Type,Year,State,Gender,Total
3881,Middle,2008,Jharkhand,Male,126
1612,Graduate,2012,Andhra Pradesh,Female,126
3951,Middle,2009,Jharkhand,Male,126
1460,Graduate,2009,Tamil Nadu,Female,126
3177,Matriculate/Secondary,2010,Himachal Pradesh,Male,126
4333,No Education,2002,Tripura,Male,126
4185,Middle,2012,Punjab,Male,126
1301,Graduate,2007,Maharashtra,Male,126
2080,Intermediate/Pre-University,2006,Odisha,Female,126
1845,Intermediate/Pre-University,2003,Haryana,Male,125
3317,Matriculate/Secondary,2012,Himachal Pradesh,Male,125
6293,Primary,2006,Tripura,Male,125
4192,Middle,2012,Tripura,Female,125
6433,Primary,2008,Tripura,Male,125
563,Diploma,2009,Andhra Pradesh,Male,124
4638,No Education,2007,Delhi,Female,124
3299,Matriculate/Secondary,2012,Bihar,Male,124
4219,No Education,2001,Delhi,Male,124
2341,Intermediate/Pre-University,2010,Jharkhand,Male,124
945,Graduate,2002,Kerala,Male,124
4403,No Education,2003,Tripura,Male,124
2736,Matriculate/Secondary,2004,Assam,Female,124
3098,Matriculate/Secondary,2009,Delhi,Female,124
6324,Primary,2007,Haryana,Female,124
4976,No Education,2012,Assam,Female,123
873,Graduate,2001,Karnataka,Male,123
6518,Primary,2010,Bihar,Female,123
3944,Middle,2009,Haryana,Female,123
1730,Intermediate/Pre-University,2001,Odisha,Female,123
2226,Intermediate/Pre-University,2008,Rajasthan,Female,123
4510,No Education,2005,Jharkhand,Female,123
1660,Graduate,2012,Odisha,Female,123
3019,Matriculate/Secondary,2008,Bihar,Male,122
6528,Primary,2010,Delhi,Female,122
1590,Graduate,2011,Odisha,Female,122
1371,Graduate,2008,Maharashtra,Male,122
3588,Middle,2004,Delhi,Female,122
1843,Intermediate/Pre-University,2003,Gujarat,Male,122
1472,Graduate,2010,Andhra Pradesh,Female,121
4919,No Education,2011,Delhi,Male,121
2897,Matriculate/Secondary,2006,Himachal Pradesh,Male,121
5969,Primary,2002,Delhi,Male,121
2855,Matriculate/Secondary,2005,Punjab,Male,120
1225,Graduate,2006,Kerala,Male,120
1193,Graduate,2006,Andhra Pradesh,Male,120
4429,No Education,2004,Delhi,Male,120
4218,No Education,2001,Delhi,Female,120
4720,No Education,2008,Jharkhand,Female,120
2049,Intermediate/Pre-University,2006,Delhi,Male,120
2646,Matriculate/Secondary,2002,Rajasthan,Female,120
4994,No Education,2012,Haryana,Female,120
3804,Middle,2007,Haryana,Female,120
2271,Intermediate/Pre-University,2009,Jharkhand,Male,119
3226,Matriculate/Secondary,2011,Assam,Female,119
4568,No Education,2006,Delhi,Female,119
2958,Matriculate/Secondary,2007,Delhi,Female,119
1311,Graduate,2007,Odisha,Male,119
1101,Graduate,2004,Odisha,Male,119
2831,Matriculate/Secondary,2005,Jharkhand,Male,118
6471,Primary,2009,Jharkhand,Male,117
1642,Graduate,2012,Karnataka,Female,117
3168,Matriculate/Secondary,2010,Delhi,Female,117
3798,Middle,2007,Delhi,Female,117
3454,Middle,2002,Haryana,Female,117
6378,Primary,2008,Bihar,Female,117
68,Diploma,2001,West Bengal,Female,116
1947,Intermediate/Pre-University,2004,Rajasthan,Male,116
3929,Middle,2009,Bihar,Male,116
4795,No Education,2009,Kerala,Male,116
3912,Middle,2008,Tripura,Female,116
2967,Matriculate/Secondary,2007,Himachal Pradesh,Male,116
6003,Primary,2002,Puducherry,Male,116
1091,Graduate,2004,Maharashtra,Male,116
1705,Intermediate/Pre-University,2001,Haryana,Male,115
1608,Graduate,2011,West Bengal,Female,115
1538,Graduate,2010,West Bengal,Female,115
2783,Matriculate/Secondary,2004,Puducherry,Male,115
2316,Intermediate/Pre-University,2010,Assam,Female,114
3868,Middle,2008,Delhi,Female,114
1263,Graduate,2007,Andhra Pradesh,Male,114
2177,Intermediate/Pre-University,2008,Assam,Male,114
4288,No Education,2002,Delhi,Female,114
1703,Intermediate/Pre-University,2001,Gujarat,Male,114
5899,Primary,2001,Delhi,Male,113
4908,No Education,2011,Bihar,Female,113
3982,Middle,2009,Tripura,Female,113
4909,No Education,2011,Bihar,Male,113
4045,Middle,2010,Punjab,Male,113
1644,Graduate,2012,Kerala,Female,113
1241,Graduate,2006,Odisha,Male,113
2189,Intermediate/Pre-University,2008,Delhi,Male,113
3664,Middle,2005,Haryana,Female,113
6083,Primary,2003,Tripura,Male,113
4778,No Education,2009,Delhi,Female,112
4511,No Education,2005,Jharkhand,Male,112
1839,Intermediate/Pre-University,2003,Delhi,Male,112
1390,Graduate,2008,Tamil Nadu,Female,112
3423,Middle,2001,Tripura,Male,111
6248,Primary,2006,Delhi,Female,111
4052,Middle,2010,Tripura,Female,111
1153,Graduate,2005,Karnataka,Male,111
461,Diploma,2007,Maharashtra,Male,111
2949,Matriculate/Secondary,2007,Bihar,Male,111
6222,Primary,2005,Tripura,Female,111
1509,Graduate,2010,Madhya Pradesh,Male,111
1123,Graduate,2005,Andhra Pradesh,Male,111
1450,Graduate,2009,Odisha,Female,110
2716,Matriculate/Secondary,2003,Rajasthan,Female,110
4332,No Education,2002,Tripura,Female,110
1687,Intermediate/Pre-University,2001,Assam,Male,110
773,Diploma,2012,Andhra Pradesh,Male,110
3412,Middle,2001,Puducherry,Female,110
5959,Primary,2002,Bihar,Male,109
2404,Intermediate/Pre-University,2011,Haryana,Female,109
1161,Graduate,2005,Maharashtra,Male,108
6223,Primary,2005,Tripura,Male,108
961,Graduate,2002,Odisha,Male,108
4289,No Education,2002,Delhi,Male,107
2782,Matriculate/Secondary,2004,Puducherry,Female,107
1369,Graduate,2008,Madhya Pradesh,Male,107
6152,Primary,2004,Tripura,Female,107
1398,Graduate,2008,West Bengal,Female,107
2456,Intermediate/Pre-University,2012,Assam,Female,107
4113,Middle,2011,Puducherry,Male,107
1085,Graduate,2004,Kerala,Male,107
1320,Graduate,2007,Tamil Nadu,Female,107
6541,Primary,2010,Jharkhand,Male,107
6449,Primary,2009,Bihar,Male,107
3905,Middle,2008,Punjab,Male,107
1015,Graduate,2003,Kerala,Male,106
1870,Intermediate/Pre-University,2003,Odisha,Female,106
2010,Intermediate/Pre-University,2005,Odisha,Female,106
6191,Primary,2005,Jharkhand,Male,106
4790,No Education,2009,Jharkhand,Female,106
3111,Matriculate/Secondary,2009,Jharkhand,Male,105
6643,Primary,2011,Tripura,Male,105
2785,Matriculate/Secondary,2004,Punjab,Male,104
1915,Intermediate/Pre-University,2004,Haryana,Male,104
2192,Intermediate/Pre-University,2008,Gujarat,Female,104
843,Graduate,2001,Andhra Pradesh,Male,104
633,Diploma,2010,Andhra Pradesh,Male,104
4359,No Education,2003,Delhi,Male,103
3202,Matriculate/Secondary,2010,Puducherry,Female,103
6044,Primary,2003,Haryana,Female,103
3843,Middle,2007,Tripura,Male,103
6184,Primary,2005,Haryana,Female,103
5933,Primary,2001,Puducherry,Male,103
6308,Primary,2007,Bihar,Female,102
4724,No Education,2008,Kerala,Female,102
6261,Primary,2006,Jharkhand,Male,102
6038,Primary,2003,Delhi,Female,102
1250,Graduate,2006,Tamil Nadu,Female,102
4349,No Education,2003,Bihar,Male,102
2888,Matriculate/Secondary,2006,Delhi,Female,102
942,Graduate,2002,Karnataka,Female,102
2262,Intermediate/Pre-University,2009,Gujarat,Female,102
1328,Graduate,2007,West Bengal,Female,102
6363,Primary,2007,Tripura,Male,102
881,Graduate,2001,Maharashtra,Male,102
6178,Primary,2005,Delhi,Female,102
1155,Graduate,2005,Kerala,Male,101
1574,Graduate,2011,Kerala,Female,101
3159,Matriculate/Secondary,2010,Bihar,Male,101
5603,Post Graduate and Above,2009,Andhra Pradesh,Male,101
2608,Matriculate/Secondary,2002,Delhi,Female,101
983,Graduate,2003,Andhra Pradesh,Male,101
4935,No Education,2011,Kerala,Male,100
4930,No Education,2011,Jharkhand,Female,100
4348,No Education,2003,Bihar,Female,100
913,Graduate,2002,Andhra Pradesh,Male,100
1031,Graduate,2003,Odisha,Male,100
2259,Intermediate/Pre-University,2009,Delhi,Male,100
671,Diploma,2010,Maharashtra,Male,99
2296,Intermediate/Pre-University,2009,Rajasthan,Female,99
3975,Middle,2009,Punjab,Male,99
6588,Primary,2011,Bihar,Female,99
5898,Primary,2001,Delhi,Female,99
3632,Middle,2004,Tripura,Female,99
1362,Graduate,2008,Karnataka,Female,99
6589,Primary,2011,Bihar,Male,99
4069,Middle,2011,Bihar,Male,99
2182,Intermediate/Pre-University,2008,Chhattisgarh,Female,99
4848,No Education,2010,Delhi,Female,98
5005,No Education,2012,Kerala,Male,98
6565,Primary,2010,Punjab,Male,98
3998,Middle,2010,Bihar,Female,98
321,Diploma,2005,Maharashtra,Male,98
3041,Matriculate/Secondary,2008,Jharkhand,Male,98
2402,Intermediate/Pre-University,2011,Gujarat,Female,98
3773,Middle,2006,Tripura,Male,98
1188,Graduate,2005,West Bengal,Female,98
3741,Middle,2006,Jharkhand,Male,98
4580,No Education,2006,Jharkhand,Female,97
5801,Post Graduate and Above,2011,Tamil Nadu,Male,97
2666,Matriculate/Secondary,2003,Assam,Female,97
6292,Primary,2006,Tripura,Female,97
3143,Matriculate/Secondary,2009,Tripura,Male,97
3594,Middle,2004,Haryana,Female,97
3772,Middle,2006,Tripura,Female,97
4709,No Education,2008,Delhi,Male,97
6309,Primary,2007,Bihar,Male,96
3832,Middle,2007,Puducherry,Female,96
4864,No Education,2010,Kerala,Female,96
3877,Middle,2008,Himachal Pradesh,Male,96
2818,Matriculate/Secondary,2005,Delhi,Female,96
5109,Post Graduate and Above,2001,West Bengal,Male,96
6705,Primary,2012,Punjab,Male,96
1579,Graduate,2011,Madhya Pradesh,Male,96
4263,No Education,2001,Tripura,Male,95
3702,Middle,2005,Tripura,Female,95
5935,Primary,2001,Punjab,Male,95
4979,No Education,2012,Bihar,Male,95
6519,Primary,2010,Bihar,Male,95
1605,Graduate,2011,Uttar Pradesh,Male,95
3859,Middle,2008,Bihar,Male,95
4613,No Education,2006,Tripura,Male,95
5904,Primary,2001,Haryana,Female,95
2506,Intermediate/Pre-University,2012,Rajasthan,Female,95
3247,Matriculate/Secondary,2011,Himachal Pradesh,Male,95
200,Diploma,2003,Tamil Nadu,Female,95
2468,Intermediate/Pre-University,2012,Delhi,Female,95
6668,Primary,2012,Delhi,Female,94
5639,Post Graduate and Above,2009,Madhya Pradesh,Male,94
493,Diploma,2008,Andhra Pradesh,Male,94
900,Graduate,2001,Tamil Nadu,Female,94
3658,Middle,2005,Delhi,Female,94
741,Diploma,2011,Maharashtra,Male,93
6012,Primary,2002,Tripura,Female,93
6598,Primary,2011,Delhi,Female,93
2678,Matriculate/Secondary,2003,Delhi,Female,93
2712,Matriculate/Secondary,2003,Puducherry,Female,93
3835,Middle,2007,Punjab,Male,93
1434,Graduate,2009,Kerala,Female,92
795,Diploma,2012,Haryana,Male,92
6425,Primary,2008,Punjab,Male,91
6362,Primary,2007,Tripura,Female,91
2933,Matriculate/Secondary,2006,Tripura,Male,91
3789,Middle,2007,Bihar,Male,91
4489,No Education,2005,Bihar,Male,91
1667,Graduate,2012,Rajasthan,Male,90
6114,Primary,2004,Haryana,Female,90
805,Diploma,2012,Kerala,Male,90
2122,Intermediate/Pre-University,2007,Gujarat,Female,89
3902,Middle,2008,Puducherry,Female,89
4402,No Education,2003,Tripura,Female,89
2617,Matriculate/Secondary,2002,Himachal Pradesh,Male,89
6572,Primary,2010,Tripura,Female,89
3518,Middle,2003,Delhi,Female,89
2827,Matriculate/Secondary,2005,Himachal Pradesh,Male,88
3649,Middle,2005,Bihar,Male,88
1294,Graduate,2007,Kerala,Female,88
5101,Post Graduate and Above,2001,Tamil Nadu,Male,88
4708,No Education,2008,Delhi,Female,88
1380,Graduate,2008,Odisha,Female,88
1021,Graduate,2003,Maharashtra,Male,88
111,Diploma,2002,Maharashtra,Male,88
5974,Primary,2002,Haryana,Female,88
4683,No Education,2007,Tripura,Male,88
105,Diploma,2002,Kerala,Male,88
3422,Middle,2001,Tripura,Female,88
2596,Matriculate/Secondary,2002,Assam,Female,87
6573,Primary,2010,Tripura,Male,87
1040,Graduate,2003,Tamil Nadu,Female,87
33,Diploma,2001,Karnataka,Male,87
2722,Matriculate/Secondary,2003,Tripura,Female,87
3553,Middle,2003,Puducherry,Male,87
3003,Matriculate/Secondary,2007,Tripura,Male,87
1597,Graduate,2011,Rajasthan,Male,87
3692,Middle,2005,Puducherry,Female,86
2332,Intermediate/Pre-University,2010,Gujarat,Female,86
1842,Intermediate/Pre-University,2003,Gujarat,Female,86
3344,Matriculate/Secondary,2012,Punjab,Female,86
6082,Primary,2003,Tripura,Female,86
391,Diploma,2006,Maharashtra,Male,86
1826,Intermediate/Pre-University,2003,Assam,Female,86
3842,Middle,2007,Tripura,Female,86
4358,No Education,2003,Delhi,Female,86
3671,Middle,2005,Jharkhand,Male,85
978,Graduate,2002,West Bengal,Female,85
4209,No Education,2001,Bihar,Male,85
2757,Matriculate/Secondary,2004,Himachal Pradesh,Male,85
6495,Primary,2009,Punjab,Male,85
803,Diploma,2012,Karnataka,Male,85
6388,Primary,2008,Delhi,Female,85
2392,Intermediate/Pre-University,2011,Chhattisgarh,Female,85
5289,Post Graduate and Above,2004,Madhya Pradesh,Male,84
809,Diploma,2012,Madhya Pradesh,Male,84
6087,Primary,2003,Uttarakhand,Male,84
1535,Graduate,2010,Uttar Pradesh,Male,84
4231,No Education,2001,Jharkhand,Male,84
138,Diploma,2002,West Bengal,Female,84
4230,No Education,2001,Jharkhand,Female,84
2398,Intermediate/Pre-University,2011,Delhi,Female,84
1402,Graduate,2009,Andhra Pradesh,Female,84
2411,Intermediate/Pre-University,2011,Jharkhand,Male,84
6458,Primary,2009,Delhi,Female,84
2923,Matriculate/Secondary,2006,Puducherry,Male,84
5305,Post Graduate and Above,2004,Punjab,Male,84
5968,Primary,2002,Delhi,Female,84
2926,Matriculate/Secondary,2006,Rajasthan,Female,84
6680,Primary,2012,Jharkhand,Female,83
2436,Intermediate/Pre-University,2011,Rajasthan,Female,83
620,Diploma,2009,Tamil Nadu,Female,83
4020,Middle,2010,Jharkhand,Female,83
669,Diploma,2010,Madhya Pradesh,Male,83
3765,Middle,2006,Punjab,Male,83
6712,Primary,2012,Tripura,Female,83
6681,Primary,2012,Jharkhand,Male,83
1520,Graduate,2010,Odisha,Female,83
4428,No Education,2004,Delhi,Female,83
1527,Graduate,2010,Rajasthan,Male,83
4978,No Education,2012,Bihar,Female,83
4139,Middle,2012,Bihar,Male,83
1504,Graduate,2010,Kerala,Female,82
6318,Primary,2007,Delhi,Female,82
5870,Post Graduate and Above,2012,Tamil Nadu,Female,82
6569,Primary,2010,Sikkim,Male,82
2948,Matriculate/Secondary,2007,Bihar,Female,82
2901,Matriculate/Secondary,2006,Jharkhand,Male,82
3972,Middle,2009,Puducherry,Female,82
6108,Primary,2004,Delhi,Female,81
1465,Graduate,2009,Uttar Pradesh,Male,81
2334,Intermediate/Pre-University,2010,Haryana,Female,81
3089,Matriculate/Secondary,2009,Bihar,Male,81
423,Diploma,2007,Andhra Pradesh,Male,81
3353,Matriculate/Secondary,2012,Tripura,Male,81
3762,Middle,2006,Puducherry,Female,81
1493,Graduate,2010,Gujarat,Male,80
4749,No Education,2008,Sikkim,Male,80
3073,Matriculate/Secondary,2008,Tripura,Male,80
6470,Primary,2009,Jharkhand,Female,80
1045,Graduate,2003,Uttar Pradesh,Male,80
1283,Graduate,2007,Gujarat,Male,80
2156,Intermediate/Pre-University,2007,Rajasthan,Female,79
4543,No Education,2005,Tripura,Male,79
3448,Middle,2002,Delhi,Female,79
2131,Intermediate/Pre-University,2007,Jharkhand,Male,79
3106,Matriculate/Secondary,2009,Himachal Pradesh,Female,79
4612,No Education,2006,Tripura,Female,79
5731,Post Graduate and Above,2010,Tamil Nadu,Male,79
4988,No Education,2012,Delhi,Female,78
1364,Graduate,2008,Kerala,Female,78
1896,Intermediate/Pre-University,2004,Assam,Female,78
3950,Middle,2009,Jharkhand,Female,78
6075,Primary,2003,Punjab,Male,78
453,Diploma,2007,Karnataka,Male,78
3180,Matriculate/Secondary,2010,Jharkhand,Female,78
3858,Middle,2008,Bihar,Female,78
41,Diploma,2001,Maharashtra,Male,78
2715,Matriculate/Secondary,2003,Punjab,Male,77
3788,Middle,2007,Bihar,Female,77
1979,Intermediate/Pre-University,2005,Delhi,Male,77
2669,Matriculate/Secondary,2003,Bihar,Male,77
1224,Graduate,2006,Kerala,Female,77
1940,Intermediate/Pre-University,2004,Odisha,Female,77
353,Diploma,2006,Andhra Pradesh,Male,77
1775,Intermediate/Pre-University,2002,Haryana,Male,77
3695,Middle,2005,Punjab,Male,76
3451,Middle,2002,Goa,Male,76
2112,Intermediate/Pre-University,2007,Chhattisgarh,Female,76
2538,Matriculate/Secondary,2001,Delhi,Female,76
103,Diploma,2002,Karnataka,Male,76
3250,Matriculate/Secondary,2011,Jharkhand,Female,76
6502,Primary,2009,Tripura,Female,76
3036,Matriculate/Secondary,2008,Himachal Pradesh,Female,76
2894,Matriculate/Secondary,2006,Haryana,Female,76
2599,Matriculate/Secondary,2002,Bihar,Male,76
3,Diploma,2001,Andhra Pradesh,Male,75
5800,Post Graduate and Above,2011,Tamil Nadu,Female,75
1571,Graduate,2011,Jharkhand,Male,75
905,Graduate,2001,Uttar Pradesh,Male,75
2645,Matriculate/Secondary,2002,Punjab,Male,75
4559,No Education,2006,Bihar,Male,75
6285,Primary,2006,Punjab,Male,75
2900,Matriculate/Secondary,2006,Jharkhand,Female,75
251,Diploma,2004,Maharashtra,Male,75
6540,Primary,2010,Jharkhand,Female,74
1464,Graduate,2009,Uttar Pradesh,Female,74
102,Diploma,2002,Karnataka,Female,74
1991,Intermediate/Pre-University,2005,Jharkhand,Male,74
1972,Intermediate/Pre-University,2005,Chhattisgarh,Female,74
1353,Graduate,2008,Gujarat,Male,74
1699,Intermediate/Pre-University,2001,Delhi,Male,74
4262,No Education,2001,Tripura,Female,74
1800,Intermediate/Pre-University,2002,Odisha,Female,74
1772,Intermediate/Pre-University,2002,Gujarat,Female,74
1635,Graduate,2012,Haryana,Male,74
3439,Middle,2002,Bihar,Male,74
2505,Intermediate/Pre-University,2012,Punjab,Male,74
3357,Matriculate/Secondary,2012,Uttarakhand,Male,74
1563,Graduate,2011,Gujarat,Male,73
6503,Primary,2009,Tripura,Male,73
4441,No Education,2004,Jharkhand,Male,73
2529,Matriculate/Secondary,2001,Bihar,Male,73
2366,Intermediate/Pre-University,2010,Rajasthan,Female,73
2435,Intermediate/Pre-University,2011,Punjab,Male,73
6659,Primary,2012,Bihar,Male,73
3342,Matriculate/Secondary,2012,Puducherry,Female,73
455,Diploma,2007,Kerala,Male,73
531,Diploma,2008,Maharashtra,Male,72
6145,Primary,2004,Punjab,Male,72
2037,Intermediate/Pre-University,2006,Assam,Male,72
2575,Matriculate/Secondary,2001,Punjab,Male,72
4918,No Education,2011,Delhi,Female,72
1623,Graduate,2012,Chhattisgarh,Male,72
6005,Primary,2002,Punjab,Male,72
181,Diploma,2003,Maharashtra,Male,71
4440,No Education,2004,Jharkhand,Female,71
3947,Middle,2009,Himachal Pradesh,Male,71
6658,Primary,2012,Bihar,Female,71
735,Diploma,2011,Kerala,Male,71
1439,Graduate,2009,Madhya Pradesh,Male,71
3740,Middle,2006,Jharkhand,Female,71
60,Diploma,2001,Tamil Nadu,Female,71
173,Diploma,2003,Karnataka,Male,70
1982,Intermediate/Pre-University,2005,Gujarat,Female,70
1806,Intermediate/Pre-University,2002,Rajasthan,Female,70
4934,No Education,2011,Kerala,Female,70
6610,Primary,2011,Jharkhand,Female,70
699,Diploma,2010,West Bengal,Male,70
2252,Intermediate/Pre-University,2009,Chhattisgarh,Female,69
1432,Graduate,2009,Karnataka,Female,69
3320,Matriculate/Secondary,2012,Jharkhand,Female,69
383,Diploma,2006,Karnataka,Male,69
270,Diploma,2004,Tamil Nadu,Female,69
1629,Graduate,2012,Delhi,Male,69
1258,Graduate,2006,West Bengal,Female,69
5533,Post Graduate and Above,2008,Andhra Pradesh,Male,69
1395,Graduate,2008,Uttar Pradesh,Male,69
2328,Intermediate/Pre-University,2010,Delhi,Female,69
523,Diploma,2008,Karnataka,Male,69
601,Diploma,2009,Maharashtra,Male,69
4081,Middle,2011,Goa,Male,69
130,Diploma,2002,Tamil Nadu,Female,69
1909,Intermediate/Pre-University,2004,Delhi,Male,68
5843,Post Graduate and Above,2012,Karnataka,Male,68
2188,Intermediate/Pre-University,2008,Delhi,Female,68
739,Diploma,2011,Madhya Pradesh,Male,68
1154,Graduate,2005,Kerala,Female,68
3213,Matriculate/Secondary,2010,Tripura,Male,68
2042,Intermediate/Pre-University,2006,Chhattisgarh,Female,68
5879,Post Graduate and Above,2012,West Bengal,Male,68
2687,Matriculate/Secondary,2003,Himachal Pradesh,Male,68
4488,No Education,2005,Bihar,Female,68
5709,Post Graduate and Above,2010,Madhya Pradesh,Male,68
2474,Intermediate/Pre-University,2012,Haryana,Female,68
213,Diploma,2004,Andhra Pradesh,Male,68
3555,Middle,2003,Punjab,Male,68
1769,Intermediate/Pre-University,2002,Delhi,Male,68
2879,Matriculate/Secondary,2006,Bihar,Male,68
3810,Middle,2007,Jharkhand,Female,68
4090,Middle,2011,Jharkhand,Female,67
2322,Intermediate/Pre-University,2010,Chhattisgarh,Female,67
5773,Post Graduate and Above,2011,Karnataka,Male,67
1704,Intermediate/Pre-University,2001,Haryana,Female,67
2365,Intermediate/Pre-University,2010,Punjab,Male,66
665,Diploma,2010,Kerala,Male,66
3731,Middle,2006,Goa,Male,66
6432,Primary,2008,Tripura,Female,66
6635,Primary,2011,Punjab,Male,66
1648,Graduate,2012,Madhya Pradesh,Female,66
1912,Intermediate/Pre-University,2004,Gujarat,Female,66
2526,Matriculate/Secondary,2001,Assam,Female,66
2061,Intermediate/Pre-University,2006,Jharkhand,Male,66
3482,Middle,2002,Puducherry,Female,66
1534,Graduate,2010,Uttar Pradesh,Female,66
6029,Primary,2003,Bihar,Male,66
4418,No Education,2004,Bihar,Female,66
599,Diploma,2009,Madhya Pradesh,Male,66
4370,No Education,2003,Jharkhand,Female,65
4301,No Education,2002,Jharkhand,Male,65
3142,Matriculate/Secondary,2009,Tripura,Female,65
1650,Graduate,2012,Maharashtra,Female,65
1292,Graduate,2007,Karnataka,Female,65
2267,Intermediate/Pre-University,2009,Himachal Pradesh,Male,65
1118,Graduate,2004,West Bengal,Female,65
2258,Intermediate/Pre-University,2009,Delhi,Female,65
4744,No Education,2008,Punjab,Female,65
3563,Middle,2003,Tripura,Male,64
5240,Post Graduate and Above,2003,Tamil Nadu,Female,64
3492,Middle,2002,Tripura,Female,64
3369,Middle,2001,Bihar,Male,64
3597,Middle,2004,Himachal Pradesh,Male,64
3509,Middle,2003,Bihar,Male,64
5871,Post Graduate and Above,2012,Tamil Nadu,Male,64
4371,No Education,2003,Jharkhand,Male,64
3737,Middle,2006,Himachal Pradesh,Male,64
1692,Intermediate/Pre-University,2001,Chhattisgarh,Female,64
3134,Matriculate/Secondary,2009,Punjab,Female,64
1832,Intermediate/Pre-University,2003,Chhattisgarh,Female,64
3274,Matriculate/Secondary,2011,Punjab,Female,63
2793,Matriculate/Secondary,2004,Tripura,Male,63
4419,No Education,2004,Bihar,Male,63
944,Graduate,2002,Kerala,Female,63
1502,Graduate,2010,Karnataka,Female,63
4674,No Education,2007,Punjab,Female,63
732,Diploma,2011,Karnataka,Female,63
3229,Matriculate/Secondary,2011,Bihar,Male,63
4682,No Education,2007,Tripura,Female,63
2462,Intermediate/Pre-University,2012,Chhattisgarh,Female,63
4818,No Education,2009,Sikkim,Female,63
1089,Graduate,2004,Madhya Pradesh,Male,63
4011,Middle,2010,Goa,Male,63
1875,Intermediate/Pre-University,2003,Punjab,Male,62
6355,Primary,2007,Punjab,Male,62
4819,No Education,2009,Sikkim,Male,62
5958,Primary,2002,Bihar,Female,62
3246,Matriculate/Secondary,2011,Himachal Pradesh,Female,62
6238,Primary,2006,Bihar,Female,62
3072,Matriculate/Secondary,2008,Tripura,Female,62
143,Diploma,2003,Andhra Pradesh,Male,62
4998,No Education,2012,Jammu & Kashmir,Female,62
1757,Intermediate/Pre-University,2002,Assam,Male,62
1332,Graduate,2008,Andhra Pradesh,Female,62
3807,Middle,2007,Himachal Pradesh,Male,62
4068,Middle,2011,Bihar,Female,62
1495,Graduate,2010,Haryana,Male,61
2809,Matriculate/Secondary,2005,Bihar,Male,61
4794,No Education,2009,Kerala,Female,61
1115,Graduate,2004,Uttar Pradesh,Male,61
593,Diploma,2009,Karnataka,Male,61
5283,Post Graduate and Above,2004,Karnataka,Male,61
1510,Graduate,2010,Maharashtra,Female,61
4138,Middle,2012,Bihar,Female,61
874,Graduate,2001,Kerala,Female,61
5701,Post Graduate and Above,2010,Jharkhand,Male,61
3272,Matriculate/Secondary,2011,Puducherry,Female,61
1580,Graduate,2011,Maharashtra,Female,61
1387,Graduate,2008,Rajasthan,Male,61
4177,Middle,2012,Mizoram,Male,60
1423,Graduate,2009,Gujarat,Male,60
2587,Matriculate/Secondary,2001,Uttarakhand,Male,60
3622,Middle,2004,Puducherry,Female,60
1542,Graduate,2011,Andhra Pradesh,Female,60
4300,No Education,2002,Jharkhand,Female,60
1014,Graduate,2003,Kerala,Female,60
668,Diploma,2010,Madhya Pradesh,Female,60
3176,Matriculate/Secondary,2010,Himachal Pradesh,Female,60
975,Graduate,2002,Uttar Pradesh,Male,60
340,Diploma,2005,Tamil Nadu,Female,60
3287,Matriculate/Secondary,2011,Uttarakhand,Male,60
2547,Matriculate/Secondary,2001,Himachal Pradesh,Male,60
2863,Matriculate/Secondary,2005,Tripura,Male,60
3625,Middle,2004,Punjab,Male,60
3669,Middle,2005,Jammu & Kashmir,Male,60
760,Diploma,2011,Tamil Nadu,Female,59
5375,Post Graduate and Above,2005,Punjab,Male,59
6239,Primary,2006,Bihar,Male,59
2517,Intermediate/Pre-University,2012,Uttarakhand,Male,59
690,Diploma,2010,Tamil Nadu,Female,59
6397,Primary,2008,Himachal Pradesh,Male,59
1736,Intermediate/Pre-University,2001,Rajasthan,Female,59
5241,Post Graduate and Above,2003,Tamil Nadu,Male,59
3133,Matriculate/Secondary,2009,Puducherry,Male,59
595,Diploma,2009,Kerala,Male,59
2643,Matriculate/Secondary,2002,Puducherry,Male,59
4017,Middle,2010,Himachal Pradesh,Male,59
4542,No Education,2005,Tripura,Female,59
1844,Intermediate/Pre-University,2003,Haryana,Female,59
3171,Matriculate/Secondary,2010,Goa,Male,59
1508,Graduate,2010,Madhya Pradesh,Female,59
1902,Intermediate/Pre-University,2004,Chhattisgarh,Female,58
1666,Graduate,2012,Rajasthan,Female,58
3319,Matriculate/Secondary,2012,Jammu & Kashmir,Male,58
2246,Intermediate/Pre-University,2009,Assam,Female,58
1762,Intermediate/Pre-University,2002,Chhattisgarh,Female,58
3719,Middle,2006,Bihar,Male,58
4254,No Education,2001,Punjab,Female,58
6642,Primary,2011,Tripura,Female,58
4157,Middle,2012,Himachal Pradesh,Male,58
967,Graduate,2002,Rajasthan,Male,57
3088,Matriculate/Secondary,2009,Bihar,Female,57
165,Diploma,2003,Haryana,Male,57
3667,Middle,2005,Himachal Pradesh,Male,57
348,Diploma,2005,West Bengal,Female,57
5004,No Education,2012,Kerala,Female,57
3298,Matriculate/Secondary,2012,Bihar,Female,57
2792,Matriculate/Secondary,2004,Tripura,Female,57
3415,Middle,2001,Punjab,Male,57
5024,No Education,2012,Punjab,Female,57
3356,Matriculate/Secondary,2012,Uttarakhand,Female,57
2433,Intermediate/Pre-University,2011,Puducherry,Male,57
2994,Matriculate/Secondary,2007,Punjab,Female,57
3158,Matriculate/Secondary,2010,Bihar,Female,57
2681,Matriculate/Secondary,2003,Goa,Male,57
