,State,Year,Type,Gender,Total
1482,Haryana,2005,Married,Female,460
3885,Uttar Pradesh,2005,Never Married,Male,457
834,Chhattisgarh,2012,Never Married,Female,456
4198,West Bengal,2012,Widowed/Widower,Female,455
3064,Odisha,2007,Never Married,Female,453
3638,Tamil Nadu,2004,Widowed/Widower,Female,453
1913,Jharkhand,2012,Married,Male,453
1324,Gujarat,2001,Never Married,Female,449
1462,Haryana,2003,Married,Female,449
2114,Kerala,2008,Never Married,Female,446
3094,Odisha,2010,Never Married,Female,446
4099,West Bengal,2002,Widowed/Widower,Male,446
3333,Punjab,2010,Married,Male,445
1384,Gujarat,2007,Never Married,Female,444
199,Andhra Pradesh,2008,Widowed/Widower,Male,442
4158,West Bengal,2008,Widowed/Widower,Female,440
3944,Uttar Pradesh,2011,Never Married,Female,440
3024,Odisha,2003,Never Married,Female,439
1334,Gujarat,2002,Never Married,Female,439
3696,Tamil Nadu,2010,Seperated,Female,438
3914,Uttar Pradesh,2008,Never Married,Female,437
4088,West Bengal,2001,Widowed/Widower,Female,435
3629,Tamil Nadu,2003,Widowed/Widower,Male,435
382,Assam,2003,Married,Female,434
1093,Delhi,2002,Married,Male,434
2104,Kerala,2007,Never Married,Female,433
4089,West Bengal,2001,Widowed/Widower,Male,432
3699,Tamil Nadu,2010,Widowed/Widower,Male,432
774,Chhattisgarh,2006,Never Married,Female,431
3474,Rajasthan,2012,Never Married,Female,429
1502,Haryana,2007,Married,Female,428
4128,West Bengal,2005,Widowed/Widower,Female,426
3934,Uttar Pradesh,2010,Never Married,Female,425
2134,Kerala,2010,Never Married,Female,424
2008,Karnataka,2009,Widowed/Widower,Female,423
207,Andhra Pradesh,2009,Seperated,Male,421
227,Andhra Pradesh,2011,Seperated,Male,420
3044,Odisha,2005,Never Married,Female,419
3303,Punjab,2007,Married,Male,418
2124,Kerala,2009,Never Married,Female,417
3657,Tamil Nadu,2006,Seperated,Male,417
3649,Tamil Nadu,2005,Widowed/Widower,Male,417
1873,Jharkhand,2008,Married,Male,413
4148,West Bengal,2007,Widowed/Widower,Female,412
3854,Uttar Pradesh,2002,Never Married,Female,410
4188,West Bengal,2011,Widowed/Widower,Female,409
2144,Kerala,2011,Never Married,Female,408
804,Chhattisgarh,2009,Never Married,Female,408
1492,Haryana,2006,Married,Female,407
3293,Punjab,2006,Married,Male,406
1195,Delhi,2012,Never Married,Male,405
1192,Delhi,2012,Married,Female,405
3619,Tamil Nadu,2002,Widowed/Widower,Male,405
3313,Punjab,2008,Married,Male,404
3924,Uttar Pradesh,2009,Never Married,Female,404
2154,Kerala,2012,Never Married,Female,401
4168,West Bengal,2009,Widowed/Widower,Female,399
3659,Tamil Nadu,2006,Widowed/Widower,Male,399
1364,Gujarat,2005,Never Married,Female,396
3034,Odisha,2004,Never Married,Female,396
3444,Rajasthan,2009,Never Married,Female,393
3617,Tamil Nadu,2002,Seperated,Male,393
1172,Delhi,2010,Married,Female,392
3323,Punjab,2009,Married,Male,392
3074,Odisha,2008,Never Married,Female,392
3626,Tamil Nadu,2003,Seperated,Female,392
168,Andhra Pradesh,2005,Widowed/Widower,Female,391
3454,Rajasthan,2010,Never Married,Female,390
562,Bihar,2009,Married,Female,389
3833,Tripura,2012,Married,Male,387
4138,West Bengal,2006,Widowed/Widower,Female,385
1505,Haryana,2007,Never Married,Male,384
3054,Odisha,2006,Never Married,Female,383
3844,Uttar Pradesh,2001,Never Married,Female,381
794,Chhattisgarh,2008,Never Married,Female,379
3607,Tamil Nadu,2001,Seperated,Male,379
3609,Tamil Nadu,2001,Widowed/Widower,Male,377
1354,Gujarat,2004,Never Married,Female,376
3845,Uttar Pradesh,2001,Never Married,Male,376
3864,Uttar Pradesh,2003,Never Married,Female,375
3706,Tamil Nadu,2011,Seperated,Female,373
3904,Uttar Pradesh,2007,Never Married,Female,373
3628,Tamil Nadu,2003,Widowed/Widower,Female,369
1344,Gujarat,2003,Never Married,Female,369
754,Chhattisgarh,2004,Never Married,Female,367
1082,Delhi,2001,Married,Female,365
1928,Karnataka,2001,Widowed/Widower,Female,364
198,Andhra Pradesh,2008,Widowed/Widower,Female,362
553,Bihar,2008,Married,Male,361
3648,Tamil Nadu,2005,Widowed/Widower,Female,360
1132,Delhi,2006,Married,Female,358
1162,Delhi,2009,Married,Female,357
3434,Rajasthan,2008,Never Married,Female,357
189,Andhra Pradesh,2007,Widowed/Widower,Male,351
4147,West Bengal,2007,Seperated,Male,348
1185,Delhi,2011,Never Married,Male,348
1843,Jharkhand,2005,Married,Male,347
3813,Tripura,2010,Married,Male,346
2449,Maharashtra,2005,Widowed/Widower,Male,346
217,Andhra Pradesh,2010,Seperated,Male,345
3793,Tripura,2008,Married,Male,343
1515,Haryana,2008,Never Married,Male,342
444,Assam,2009,Never Married,Female,337
3874,Uttar Pradesh,2004,Never Married,Female,337
4081,West Bengal,2001,Divorcee,Male,337
1535,Haryana,2010,Never Married,Male,337
1182,Delhi,2011,Married,Female,337
3637,Tamil Nadu,2004,Seperated,Male,337
209,Andhra Pradesh,2009,Widowed/Widower,Male,336
229,Andhra Pradesh,2011,Widowed/Widower,Male,336
166,Andhra Pradesh,2005,Seperated,Female,334
1142,Delhi,2007,Married,Female,334
764,Chhattisgarh,2005,Never Married,Female,332
3414,Rajasthan,2006,Never Married,Female,332
3823,Tripura,2011,Married,Male,332
3689,Tamil Nadu,2009,Widowed/Widower,Male,332
424,Assam,2007,Never Married,Female,331
4178,West Bengal,2010,Widowed/Widower,Female,331
563,Bihar,2009,Married,Male,327
784,Chhattisgarh,2007,Never Married,Female,327
3884,Uttar Pradesh,2005,Never Married,Female,326
3133,Puducherry,2002,Married,Male,324
149,Andhra Pradesh,2003,Widowed/Widower,Male,324
3803,Tripura,2009,Married,Male,324
1537,Haryana,2010,Seperated,Male,323
3783,Tripura,2007,Married,Male,323
3364,Rajasthan,2001,Never Married,Female,323
159,Andhra Pradesh,2004,Widowed/Widower,Male,321
1989,Karnataka,2007,Widowed/Widower,Male,320
4117,West Bengal,2004,Seperated,Male,320
2429,Maharashtra,2003,Widowed/Widower,Male,320
3678,Tamil Nadu,2008,Widowed/Widower,Female,318
156,Andhra Pradesh,2004,Seperated,Female,318
1525,Haryana,2009,Never Married,Male,317
593,Bihar,2012,Married,Male,316
4118,West Bengal,2004,Widowed/Widower,Female,316
219,Andhra Pradesh,2010,Widowed/Widower,Male,315
3464,Rajasthan,2011,Never Married,Female,315
1495,Haryana,2006,Never Married,Male,314
4087,West Bengal,2001,Seperated,Male,313
744,Chhattisgarh,2003,Never Married,Female,312
1927,Karnataka,2001,Seperated,Male,311
3719,Tamil Nadu,2012,Widowed/Widower,Male,311
543,Bihar,2007,Married,Male,310
1633,Himachal Pradesh,2008,Married,Male,310
137,Andhra Pradesh,2002,Seperated,Male,309
1152,Delhi,2008,Married,Female,309
4108,West Bengal,2003,Widowed/Widower,Female,307
3618,Tamil Nadu,2002,Widowed/Widower,Female,307
3384,Rajasthan,2003,Never Married,Female,306
3223,Puducherry,2011,Married,Male,304
3608,Tamil Nadu,2001,Widowed/Widower,Female,304
3668,Tamil Nadu,2007,Widowed/Widower,Female,303
4139,West Bengal,2006,Widowed/Widower,Male,303
2428,Maharashtra,2003,Widowed/Widower,Female,302
1915,Jharkhand,2012,Never Married,Male,302
1122,Delhi,2005,Married,Female,301
2499,Maharashtra,2010,Widowed/Widower,Male,300
3355,Punjab,2012,Never Married,Male,299
3283,Punjab,2005,Married,Male,297
3742,Tripura,2003,Married,Female,295
2469,Maharashtra,2007,Widowed/Widower,Male,295
734,Chhattisgarh,2002,Never Married,Female,295
3718,Tamil Nadu,2012,Widowed/Widower,Female,295
2459,Maharashtra,2006,Widowed/Widower,Male,293
177,Andhra Pradesh,2006,Seperated,Male,292
3233,Puducherry,2012,Married,Male,292
4149,West Bengal,2007,Widowed/Widower,Male,291
724,Chhattisgarh,2001,Never Married,Female,291
218,Andhra Pradesh,2010,Widowed/Widower,Female,290
1853,Jharkhand,2006,Married,Male,290
3143,Puducherry,2003,Married,Male,288
3658,Tamil Nadu,2006,Widowed/Widower,Female,288
414,Assam,2006,Never Married,Female,287
572,Bihar,2010,Married,Female,283
2007,Karnataka,2009,Seperated,Male,283
2419,Maharashtra,2002,Widowed/Widower,Male,283
2029,Karnataka,2011,Widowed/Widower,Male,283
4109,West Bengal,2003,Widowed/Widower,Male,282
3123,Puducherry,2001,Married,Male,281
583,Bihar,2011,Married,Male,281
2408,Maharashtra,2001,Widowed/Widower,Female,280
3698,Tamil Nadu,2010,Widowed/Widower,Female,280
3374,Rajasthan,2002,Never Married,Female,280
3708,Tamil Nadu,2011,Widowed/Widower,Female,279
3686,Tamil Nadu,2009,Seperated,Female,279
3894,Uttar Pradesh,2006,Never Married,Female,279
404,Assam,2005,Never Married,Female,278
208,Andhra Pradesh,2009,Widowed/Widower,Female,276
3153,Puducherry,2004,Married,Male,275
148,Andhra Pradesh,2003,Widowed/Widower,Female,274
4127,West Bengal,2005,Seperated,Male,274
1092,Delhi,2002,Married,Female,274
1912,Jharkhand,2012,Married,Female,273
384,Assam,2003,Never Married,Female,273
1102,Delhi,2003,Married,Female,272
1112,Delhi,2004,Married,Female,270
228,Andhra Pradesh,2011,Widowed/Widower,Female,270
3723,Tripura,2001,Married,Male,270
2369,Madhya Pradesh,2009,Widowed/Widower,Male,269
1937,Karnataka,2002,Seperated,Male,268
4187,West Bengal,2011,Seperated,Male,267
3253,Punjab,2002,Married,Male,266
1643,Himachal Pradesh,2009,Married,Male,266
3676,Tamil Nadu,2008,Seperated,Female,265
3424,Rajasthan,2007,Never Married,Female,264
4119,West Bengal,2004,Widowed/Widower,Male,264
1175,Delhi,2010,Never Married,Male,264
364,Assam,2001,Never Married,Female,263
1115,Delhi,2004,Never Married,Male,263
2159,Kerala,2012,Widowed/Widower,Male,262
3163,Puducherry,2005,Married,Male,262
493,Bihar,2002,Married,Male,261
239,Andhra Pradesh,2012,Widowed/Widower,Male,261
3213,Puducherry,2010,Married,Male,261
1929,Karnataka,2001,Widowed/Widower,Male,261
2438,Maharashtra,2004,Widowed/Widower,Female,260
3173,Puducherry,2006,Married,Male,260
1862,Jharkhand,2007,Married,Female,259
2027,Karnataka,2011,Seperated,Male,259
2017,Karnataka,2010,Seperated,Male,259
2478,Maharashtra,2008,Widowed/Widower,Female,258
3345,Punjab,2011,Never Married,Male,258
3745,Tripura,2003,Never Married,Male,257
1465,Haryana,2003,Never Married,Male,257
2458,Maharashtra,2006,Widowed/Widower,Female,257
4096,West Bengal,2002,Seperated,Female,256
3404,Rajasthan,2005,Never Married,Female,256
552,Bihar,2008,Married,Female,256
179,Andhra Pradesh,2006,Widowed/Widower,Male,256
3203,Puducherry,2009,Married,Male,255
1892,Jharkhand,2010,Married,Female,254
4129,West Bengal,2005,Widowed/Widower,Male,254
3647,Tamil Nadu,2005,Seperated,Male,254
3183,Puducherry,2007,Married,Male,254
1145,Delhi,2007,Never Married,Male,253
454,Assam,2010,Never Married,Female,252
178,Andhra Pradesh,2006,Widowed/Widower,Female,252
3666,Tamil Nadu,2007,Seperated,Female,252
3273,Punjab,2004,Married,Male,252
3335,Punjab,2010,Never Married,Male,251
1949,Karnataka,2003,Widowed/Widower,Male,251
4189,West Bengal,2011,Widowed/Widower,Male,251
2448,Maharashtra,2005,Widowed/Widower,Female,250
3722,Tripura,2001,Married,Female,250
4116,West Bengal,2004,Seperated,Female,250
2018,Karnataka,2010,Widowed/Widower,Female,250
1902,Jharkhand,2011,Married,Female,250
434,Assam,2008,Never Married,Female,249
3688,Tamil Nadu,2009,Widowed/Widower,Female,249
188,Andhra Pradesh,2007,Widowed/Widower,Female,248
2409,Maharashtra,2001,Widowed/Widower,Male,247
3193,Puducherry,2008,Married,Male,247
542,Bihar,2007,Married,Female,246
2439,Maharashtra,2004,Widowed/Widower,Male,246
1977,Karnataka,2006,Seperated,Male,244
1957,Karnataka,2004,Seperated,Male,243
3394,Rajasthan,2004,Never Married,Female,243
2399,Madhya Pradesh,2012,Widowed/Widower,Male,242
1135,Delhi,2006,Never Married,Male,241
3792,Tripura,2008,Married,Female,241
2418,Maharashtra,2002,Widowed/Widower,Female,241
226,Andhra Pradesh,2011,Seperated,Female,240
3656,Tamil Nadu,2006,Seperated,Female,240
1165,Delhi,2009,Never Married,Male,240
1653,Himachal Pradesh,2010,Married,Male,238
1673,Himachal Pradesh,2012,Married,Male,237
128,Andhra Pradesh,2001,Widowed/Widower,Female,236
3243,Punjab,2001,Married,Male,234
4199,West Bengal,2012,Widowed/Widower,Male,233
1947,Karnataka,2003,Seperated,Male,233
394,Assam,2004,Never Married,Female,233
158,Andhra Pradesh,2004,Widowed/Widower,Female,232
1105,Delhi,2003,Never Married,Male,232
1865,Jharkhand,2007,Never Married,Male,232
1967,Karnataka,2005,Seperated,Male,232
2468,Maharashtra,2007,Widowed/Widower,Female,230
2509,Maharashtra,2011,Widowed/Widower,Male,229
582,Bihar,2011,Married,Female,229
3773,Tripura,2006,Married,Male,229
2489,Maharashtra,2009,Widowed/Widower,Male,228
1445,Haryana,2001,Never Married,Male,228
2519,Maharashtra,2012,Widowed/Widower,Male,228
3616,Tamil Nadu,2002,Seperated,Female,227
3733,Tripura,2002,Married,Male,227
1485,Haryana,2005,Never Married,Male,227
1429,Gujarat,2011,Widowed/Widower,Male,225
2498,Maharashtra,2010,Widowed/Widower,Female,225
374,Assam,2002,Never Married,Female,225
2308,Madhya Pradesh,2003,Widowed/Widower,Female,223
523,Bihar,2005,Married,Male,223
147,Andhra Pradesh,2003,Seperated,Male,223
1895,Jharkhand,2010,Never Married,Male,222
2518,Maharashtra,2012,Widowed/Widower,Female,220
3315,Punjab,2008,Never Married,Male,220
3743,Tripura,2003,Married,Male,219
237,Andhra Pradesh,2012,Seperated,Male,219
1125,Delhi,2005,Never Married,Male,218
3325,Punjab,2009,Never Married,Male,218
1475,Haryana,2004,Never Married,Male,218
474,Assam,2012,Never Married,Female,217
503,Bihar,2003,Married,Male,217
1155,Delhi,2008,Never Married,Male,216
3109,Odisha,2011,Widowed/Widower,Male,216
1194,Delhi,2012,Never Married,Female,216
2037,Karnataka,2012,Seperated,Male,215
1882,Jharkhand,2009,Married,Female,215
1455,Haryana,2002,Never Married,Male,214
1978,Karnataka,2006,Widowed/Widower,Female,214
4180,West Bengal,2011,Divorcee,Female,213
397,Assam,2004,Seperated,Male,212
2488,Maharashtra,2009,Widowed/Widower,Female,212
1613,Himachal Pradesh,2006,Married,Male,212
2479,Maharashtra,2008,Widowed/Widower,Male,211
1852,Jharkhand,2006,Married,Female,211
238,Andhra Pradesh,2012,Widowed/Widower,Female,210
3753,Tripura,2004,Married,Male,207
1948,Karnataka,2003,Widowed/Widower,Female,206
1905,Jharkhand,2011,Never Married,Male,205
3959,Uttar Pradesh,2012,Widowed/Widower,Male,204
1979,Karnataka,2006,Widowed/Widower,Male,204
2078,Kerala,2004,Widowed/Widower,Female,203
4146,West Bengal,2007,Seperated,Female,203
492,Bihar,2002,Married,Female,203
3763,Tripura,2005,Married,Male,202
464,Assam,2011,Never Married,Female,202
1544,Haryana,2011,Never Married,Female,202
3263,Punjab,2003,Married,Male,201
2368,Madhya Pradesh,2009,Widowed/Widower,Female,200
4196,West Bengal,2012,Seperated,Female,200
387,Assam,2003,Seperated,Male,200
1855,Jharkhand,2006,Never Married,Male,199
2358,Madhya Pradesh,2008,Widowed/Widower,Female,199
592,Bihar,2012,Married,Female,198
4130,West Bengal,2006,Divorcee,Female,198
3305,Punjab,2007,Never Married,Male,198
3019,Odisha,2002,Widowed/Widower,Male,197
389,Assam,2003,Widowed/Widower,Male,197
532,Bihar,2006,Married,Female,197
2149,Kerala,2011,Widowed/Widower,Male,197
2508,Maharashtra,2011,Widowed/Widower,Female,196
197,Andhra Pradesh,2008,Seperated,Male,196
127,Andhra Pradesh,2001,Seperated,Male,195
3606,Tamil Nadu,2001,Seperated,Female,195
3782,Tripura,2007,Married,Female,194
2298,Madhya Pradesh,2002,Widowed/Widower,Female,194
1938,Karnataka,2002,Widowed/Widower,Female,193
191,Andhra Pradesh,2008,Divorcee,Male,193
3775,Tripura,2006,Never Married,Male,193
1085,Delhi,2001,Never Married,Male,192
1885,Jharkhand,2009,Never Married,Male,192
4091,West Bengal,2002,Divorcee,Male,190
4169,West Bengal,2009,Widowed/Widower,Male,190
437,Assam,2008,Seperated,Male,190
2059,Kerala,2002,Widowed/Widower,Male,189
4191,West Bengal,2012,Divorcee,Male,189
2379,Madhya Pradesh,2010,Widowed/Widower,Male,189
3755,Tripura,2004,Never Married,Male,189
1663,Himachal Pradesh,2011,Married,Male,188
1623,Himachal Pradesh,2007,Married,Male,188
2069,Kerala,2003,Widowed/Widower,Male,187
3295,Punjab,2006,Never Married,Male,187
1988,Karnataka,2007,Widowed/Widower,Female,187
2318,Madhya Pradesh,2004,Widowed/Widower,Female,187
3832,Tripura,2012,Married,Female,186
3735,Tripura,2002,Never Married,Male,186
3802,Tripura,2009,Married,Female,185
216,Andhra Pradesh,2010,Seperated,Female,185
4179,West Bengal,2010,Widowed/Widower,Male,184
2028,Karnataka,2011,Widowed/Widower,Female,184
1999,Karnataka,2008,Widowed/Widower,Male,184
1439,Gujarat,2012,Widowed/Widower,Male,184
2108,Kerala,2007,Widowed/Widower,Female,183
129,Andhra Pradesh,2001,Widowed/Widower,Male,183
1184,Delhi,2011,Never Married,Female,182
4190,West Bengal,2012,Divorcee,Female,182
2118,Kerala,2008,Widowed/Widower,Female,182
2359,Madhya Pradesh,2008,Widowed/Widower,Male,182
749,Chhattisgarh,2003,Widowed/Widower,Male,182
2098,Kerala,2006,Widowed/Widower,Female,181
2079,Kerala,2004,Widowed/Widower,Male,181
1998,Karnataka,2008,Widowed/Widower,Female,180
2288,Madhya Pradesh,2001,Widowed/Widower,Female,180
2039,Karnataka,2012,Widowed/Widower,Male,180
3812,Tripura,2010,Married,Female,178
3709,Tamil Nadu,2011,Widowed/Widower,Male,177
3752,Tripura,2004,Married,Female,177
3275,Punjab,2004,Never Married,Male,176
4086,West Bengal,2001,Seperated,Female,175
1114,Delhi,2004,Never Married,Female,175
4080,West Bengal,2001,Divorcee,Female,175
555,Bihar,2008,Never Married,Male,174
4177,West Bengal,2010,Seperated,Male,173
2068,Kerala,2003,Widowed/Widower,Female,173
545,Bihar,2007,Never Married,Male,173
3636,Tamil Nadu,2004,Seperated,Female,172
2139,Kerala,2010,Widowed/Widower,Male,172
1095,Delhi,2002,Never Married,Male,172
3646,Tamil Nadu,2005,Seperated,Female,172
4159,West Bengal,2008,Widowed/Widower,Male,172
1419,Gujarat,2010,Widowed/Widower,Male,171
2058,Kerala,2002,Widowed/Widower,Female,171
1969,Karnataka,2005,Widowed/Widower,Male,170
482,Bihar,2001,Married,Female,170
3352,Punjab,2012,Married,Female,169
3108,Odisha,2011,Widowed/Widower,Female,168
2309,Madhya Pradesh,2003,Widowed/Widower,Male,166
3029,Odisha,2003,Widowed/Widower,Male,166
4097,West Bengal,2002,Seperated,Male,165
1842,Jharkhand,2005,Married,Female,165
1914,Jharkhand,2012,Never Married,Female,165
3983,Uttarakhand,2003,Married,Male,165
1958,Karnataka,2004,Widowed/Widower,Female,165
2128,Kerala,2009,Widowed/Widower,Female,164
1174,Delhi,2010,Never Married,Female,164
2138,Kerala,2010,Widowed/Widower,Female,164
201,Andhra Pradesh,2009,Divorcee,Male,164
2158,Kerala,2012,Widowed/Widower,Female,163
522,Bihar,2005,Married,Female,163
2129,Kerala,2009,Widowed/Widower,Male,163
1144,Delhi,2007,Never Married,Female,162
3762,Tripura,2005,Married,Female,162
1583,Himachal Pradesh,2003,Married,Male,162
3822,Tripura,2011,Married,Female,162
483,Bihar,2001,Married,Male,162
4176,West Bengal,2010,Seperated,Female,162
2378,Madhya Pradesh,2010,Widowed/Widower,Female,161
2398,Madhya Pradesh,2012,Widowed/Widower,Female,161
1369,Gujarat,2005,Widowed/Widower,Male,160
4126,West Bengal,2005,Seperated,Female,160
2148,Kerala,2011,Widowed/Widower,Female,160
1164,Delhi,2009,Never Married,Female,160
1959,Karnataka,2004,Widowed/Widower,Male,159
4120,West Bengal,2005,Divorcee,Female,158
1134,Delhi,2006,Never Married,Female,158
3859,Uttar Pradesh,2002,Widowed/Widower,Male,158
146,Andhra Pradesh,2003,Seperated,Female,157
3725,Tripura,2001,Never Married,Male,157
2057,Kerala,2002,Seperated,Male,157
1154,Delhi,2008,Never Married,Female,157
1872,Jharkhand,2008,Married,Female,156
1379,Gujarat,2006,Widowed/Widower,Male,156
502,Bihar,2003,Married,Female,155
2319,Madhya Pradesh,2004,Widowed/Widower,Male,155
4090,West Bengal,2002,Divorcee,Female,155
4140,West Bengal,2007,Divorcee,Female,155
1554,Haryana,2012,Never Married,Female,155
575,Bihar,2010,Never Married,Male,155
565,Bihar,2009,Never Married,Male,155
1997,Karnataka,2008,Seperated,Male,155
748,Chhattisgarh,2003,Widowed/Widower,Female,154
3772,Tripura,2006,Married,Female,154
2119,Kerala,2008,Widowed/Widower,Male,154
1409,Gujarat,2009,Widowed/Widower,Male,152
2299,Madhya Pradesh,2002,Widowed/Widower,Male,152
533,Bihar,2006,Married,Male,151
2088,Kerala,2005,Widowed/Widower,Female,150
1124,Delhi,2005,Never Married,Female,150
574,Bihar,2010,Never Married,Female,149
136,Andhra Pradesh,2002,Seperated,Female,149
2348,Madhya Pradesh,2007,Widowed/Widower,Female,149
4197,West Bengal,2012,Seperated,Male,149
2339,Madhya Pradesh,2006,Widowed/Widower,Male,149
3312,Punjab,2008,Married,Female,149
457,Assam,2010,Seperated,Male,149
1593,Himachal Pradesh,2004,Married,Male,148
798,Chhattisgarh,2008,Widowed/Widower,Female,148
2048,Kerala,2001,Widowed/Widower,Female,148
1632,Himachal Pradesh,2008,Married,Female,147
1968,Karnataka,2005,Widowed/Widower,Female,147
4160,West Bengal,2009,Divorcee,Female,147
3774,Tripura,2006,Never Married,Female,147
3322,Punjab,2009,Married,Female,146
4170,West Bengal,2010,Divorcee,Female,146
3858,Uttar Pradesh,2002,Widowed/Widower,Female,145
3835,Tripura,2012,Never Married,Male,144
427,Assam,2007,Seperated,Male,143
2099,Kerala,2006,Widowed/Widower,Male,143
3285,Punjab,2005,Never Married,Male,143
3342,Punjab,2011,Married,Female,142
176,Andhra Pradesh,2006,Seperated,Female,142
1894,Jharkhand,2010,Never Married,Female,142
4121,West Bengal,2005,Divorcee,Male,142
2109,Kerala,2007,Widowed/Widower,Male,142
151,Andhra Pradesh,2004,Divorcee,Male,142
1418,Gujarat,2010,Widowed/Widower,Female,142
377,Assam,2002,Seperated,Male,141
1573,Himachal Pradesh,2002,Married,Male,140
1833,Jharkhand,2004,Married,Male,139
739,Chhattisgarh,2002,Widowed/Widower,Male,139
1514,Haryana,2008,Never Married,Female,139
3963,Uttarakhand,2001,Married,Male,139
4111,West Bengal,2004,Divorcee,Male,139
126,Andhra Pradesh,2001,Seperated,Female,138
1939,Karnataka,2002,Widowed/Widower,Male,138
3553,Sikkim,2008,Married,Male,138
3302,Punjab,2007,Married,Female,138
2289,Madhya Pradesh,2001,Widowed/Widower,Male,137
839,Chhattisgarh,2012,Widowed/Widower,Male,137
4043,Uttarakhand,2009,Married,Male,137
513,Bihar,2004,Married,Male,136
3754,Tripura,2004,Never Married,Female,136
3973,Uttarakhand,2002,Married,Male,136
1642,Himachal Pradesh,2009,Married,Female,136
808,Chhattisgarh,2009,Widowed/Widower,Female,135
1845,Jharkhand,2005,Never Married,Male,135
495,Bihar,2002,Never Married,Male,135
2006,Karnataka,2009,Seperated,Female,135
3122,Puducherry,2001,Married,Female,135
2077,Kerala,2004,Seperated,Male,135
1875,Jharkhand,2008,Never Married,Male,134
4073,Uttarakhand,2012,Married,Male,134
2038,Karnataka,2012,Widowed/Widower,Female,133
3690,Tamil Nadu,2010,Divorcee,Female,133
544,Bihar,2007,Never Married,Female,133
1534,Haryana,2010,Never Married,Female,133
3018,Odisha,2002,Widowed/Widower,Female,133
3805,Tripura,2009,Never Married,Male,132
3765,Tripura,2005,Never Married,Male,132
2067,Kerala,2003,Seperated,Male,132
2328,Madhya Pradesh,2005,Widowed/Widower,Female,132
1987,Karnataka,2007,Seperated,Male,131
1936,Karnataka,2002,Seperated,Female,131
1389,Gujarat,2007,Widowed/Widower,Male,131
1438,Gujarat,2012,Widowed/Widower,Female,130
2047,Kerala,2001,Seperated,Male,130
3732,Tripura,2002,Married,Female,129
407,Assam,2005,Seperated,Male,129
3006,Odisha,2001,Seperated,Female,129
2089,Kerala,2005,Widowed/Widower,Male,128
1792,Jammu & Kashmir,2012,Married,Female,128
3088,Odisha,2009,Widowed/Widower,Female,128
1293,Goa,2010,Married,Male,127
2388,Madhya Pradesh,2011,Widowed/Widower,Female,127
4167,West Bengal,2009,Seperated,Male,127
3265,Punjab,2003,Never Married,Male,127
1753,Jammu & Kashmir,2008,Married,Male,127
1388,Gujarat,2007,Widowed/Widower,Female,126
1563,Himachal Pradesh,2001,Married,Male,126
4131,West Bengal,2006,Divorcee,Male,126
2329,Madhya Pradesh,2005,Widowed/Widower,Male,126
585,Bihar,2011,Never Married,Male,125
1399,Gujarat,2008,Widowed/Widower,Male,125
2011,Karnataka,2010,Divorcee,Male,125
2016,Karnataka,2010,Seperated,Female,125
1368,Gujarat,2005,Widowed/Widower,Female,124
3152,Puducherry,2004,Married,Female,124
1549,Haryana,2011,Widowed/Widower,Male,124
1084,Delhi,2001,Never Married,Female,124
3162,Puducherry,2005,Married,Female,124
1652,Himachal Pradesh,2010,Married,Female,124
1233,Goa,2004,Married,Male,123
3118,Odisha,2012,Widowed/Widower,Female,123
2389,Madhya Pradesh,2011,Widowed/Widower,Male,123
3332,Punjab,2010,Married,Female,122
2338,Madhya Pradesh,2006,Widowed/Widower,Female,122
211,Andhra Pradesh,2010,Divorcee,Male,122
4072,Uttarakhand,2012,Married,Female,122
206,Andhra Pradesh,2009,Seperated,Female,122
2356,Madhya Pradesh,2008,Seperated,Female,122
1213,Goa,2002,Married,Male,122
1104,Delhi,2003,Never Married,Female,122
1524,Haryana,2009,Never Married,Female,121
3202,Puducherry,2009,Married,Female,121
1408,Gujarat,2009,Widowed/Widower,Female,121
4166,West Bengal,2009,Seperated,Female,121
3691,Tamil Nadu,2010,Divorcee,Male,120
1378,Gujarat,2006,Widowed/Widower,Female,120
818,Chhattisgarh,2010,Widowed/Widower,Female,120
3972,Uttarakhand,2002,Married,Female,120
2407,Maharashtra,2001,Seperated,Male,120
1603,Himachal Pradesh,2005,Married,Male,119
2049,Kerala,2001,Widowed/Widower,Male,119
1398,Gujarat,2008,Widowed/Widower,Female,118
3949,Uttar Pradesh,2011,Widowed/Widower,Male,118
4053,Uttarakhand,2010,Married,Male,118
828,Chhattisgarh,2011,Widowed/Widower,Female,118
3008,Odisha,2001,Widowed/Widower,Female,117
4100,West Bengal,2003,Divorcee,Female,117
1303,Goa,2011,Married,Male,117
3573,Sikkim,2010,Married,Male,117
829,Chhattisgarh,2011,Widowed/Widower,Male,116
1864,Jharkhand,2007,Never Married,Female,116
1223,Goa,2003,Married,Male,115
2357,Madhya Pradesh,2008,Seperated,Male,115
1832,Jharkhand,2004,Married,Female,115
196,Andhra Pradesh,2008,Seperated,Female,115
1428,Gujarat,2011,Widowed/Widower,Female,115
1662,Himachal Pradesh,2011,Married,Female,114
3107,Odisha,2011,Seperated,Male,114
1243,Goa,2005,Married,Male,114
3928,Uttar Pradesh,2009,Widowed/Widower,Female,114
4106,West Bengal,2003,Seperated,Female,114
3089,Odisha,2009,Widowed/Widower,Male,113
1349,Gujarat,2003,Widowed/Widower,Male,113
4186,West Bengal,2011,Seperated,Female,113
3142,Puducherry,2003,Married,Female,113
